"id_marker";"date_time";"description";"latitude";"longitude";"statut";"type_marker_id";"user_id"
237;"";"Eglise evangelique du reveil international";5.3678798;-4.0061326;"1";1;0
238;"";"Eglise primitive dans le monde";5.3625797;-4.0002157;"1";1;0
239;"";"Mosquée Kenya";5.3468217;-4.072864;"1";1;0
240;"";"Église Évangélique Philadelphie";5.3515999;-4.0561592;"1";1;0
241;"";"Église Évangélique Le Mont Sinai";5.3511439;-4.056933;"1";1;0
242;"";"Église Évangélique de la vie chrétienne";5.3500897;-4.0563302;"1";1;0
243;"";"Eglise Baptiste";5.3509343;-4.0532171;"1";1;0
244;"";"Église Évangelique la Chapelle glorieuse Emassus";5.350003;-4.0553619;"1";1;0
245;"";"Église Évangelique le Trône International";5.3523223;-4.0560579;"1";1;0
246;"";"Mission Internationale de guerison et de délivrance";5.3522368;-4.0565622;"1";1;0
247;"";"Église Evangélique Answer Chapel";5.3527202;-4.0532604;"1";1;0
248;"";"Église Christianiste Celeste";5.3523463;-4.0528044;"1";1;0
249;"";"Église Le Jourdain";5.3519965;-4.052673;"1";1;0
250;"";"Mosquée Abou Barkrine Asudik";5.3492405;-4.060666;"1";1;0
251;"";"Mission Assenbléé de l'eglise glorieuse";5.3658824;-4.0120087;"1";1;0
252;"";"Mission Protestante Internationale";5.3419993;-4.067688;"1";1;0
253;"";"Chapelle Notre Dame de Toute Grace";5.3487331;-4.0617362;"1";1;0
254;"";"Eglise de Pentecôte Internationale de Côte d'Ivoire";5.3482818;-4.0681936;"1";1;0
255;"";"Eglise";5.3490482;-4.0778066;"1";1;0
256;"";"Eglise Christianiste Celeste";5.3497719;-4.0785858;"1";1;0
257;"";"Eglise Pentecôte";5.3502546;-4.0774492;"1";1;0
258;"";"Missions Evangelique";5.3470066;-4.0568626;"1";1;0
259;"";"Eglise Jésus For Life";5.3443841;-4.0591961;"1";1;0
260;"";"Eglise evangelique de reveil internationall";5.3709021;-4.0000319;"1";1;0
261;"";"Eglise christine church international";5.3681124;-4.0109127;"1";1;0
262;"";"Eglise Presbyterienne de Côte d'Ivoire";5.3416682;-4.0590405;"1";1;0
263;"";"Eglise Evangelique";5.340166;-4.0807074;"1";1;0
264;"";"Eglise NSE";5.3606562;-4.0831972;"1";1;0
265;"";"Eglise MIPEC-NA";5.3530907;-4.0823704;"1";1;0
266;"";"Eglise La Paroisse Prophétique";5.3529579;-4.0807262;"1";1;0
267;"";"Mosquée Darou-Salam";5.3396332;-4.0840642;"1";1;0
268;"";"Eglise APEC";5.3704188;-4.0109579;"1";1;0
269;"";"Minitère international des élus";5.3691476;-4.0092078;"1";1;0
270;"";"Eglise evangelique de DIEU";5.3664627;-4.0097273;"1";1;0
271;"";"Eglise: Centre international d'alliance et d'adoration";5.3689197;-4.0103065;"1";1;0
272;"";"Eglose evangelique missionnaire de christ";5.3685435;-4.0024721;"1";1;0
273;"";"Eglise Evangelique Medes";5.336311;-4.0828921;"1";1;0
274;"";"Eglise Des Dons et Miracles";5.3370294;-4.0828411;"1";1;0
275;"";"Mission Internationale de Delivrance d'intercession et de Restauration";5.3505971;-4.064991;"1";1;0
276;"";"Eglise Chretienne Pain de Vie Internationale";5.34804;-4.0638517;"1";1;0
277;"";"Eglise";5.3594332;-4.0710743;"1";1;0
278;"";"Eglise Evangelique";5.3477737;-4.0800919;"1";1;0
279;"";"Eglise Evangelique la Mission";5.3419499;-4.0843204;"1";1;0
280;"";"Mission Evangelique la Pierre Vivante";5.3525873;-4.0705352;"1";1;0
281;"";"Eglise Evangelique du Plein Salut";5.3515659;-4.0700923;"1";1;0
282;"";"Eglise Evangelique";5.3461267;-4.0771213;"1";1;0
283;"";"Mission International Des Eglises Miracle";5.3460546;-4.0756769;"1";1;0
284;"";"Eglise De La Saveur Du Christ";5.3458012;-4.074771;"1";1;0
285;"";"Eglise Province Ecclésiastique d'Abidjan";5.3432919;-4.0750185;"1";1;0
286;"";"Eglise Evangelique";5.345226;-4.0750473;"1";1;0
287;"";"Eglise Evangelique MIADI";5.3471054;-4.0770972;"1";1;0
288;"";"Eglise Nouvelle Du Christ";5.3467142;-4.0782438;"1";1;0
289;"";"Mosquée Bamba";5.3434288;-4.0776785;"1";1;0
290;"";"Eglise MDVJC";5.3471875;-4.0780621;"1";1;0
291;"";"Eglise Evangelique Assemblée De Dieu";5.3427938;-4.0790498;"1";1;0
292;"";"Eglise Temple Canaan";5.343175;-4.0800007;"1";1;0
293;"";"Eglise Universelle";5.3531074;-4.0739489;"1";1;0
294;"";"Mosquée UOSMANE";5.3472029;-4.0798612;"1";1;0
295;"";"Ministère de la Montagne de Feu et de Miracles(1er Etage)";5.3490903;-4.0731443;"1";1;0
296;"";"Eglise Ministère de la Grâce et de la Miséricorde";5.3580438;-4.0738658;"1";1;0
297;"";"Eglise Evangelique la Maison des Aigles";5.3526661;-4.0693456;"1";1;0
298;"";"Eglise Baptiste Union";5.3589912;-4.067633;"1";1;0
299;"";"Eglise";5.3466247;-4.082294;"1";1;0
300;"";"Eglise";5.3463951;-4.0826413;"1";1;0
301;"";"Eglise Pathemos Dieudonné";5.3458156;-4.0813713;"1";1;0
302;"";"Eglise Jésus Christ des Saints des Derniers Jours";5.3414372;-4.0743043;"1";1;0
303;"";"Eglise Mouvement Chapelle";5.3384174;-4.074592;"1";1;0
304;"";"Temple EEMIR";5.3384715;-4.074527;"1";1;0
305;"";"Eglise Pentecôte International de CI";5.3383734;-4.0753303;"1";1;0
306;"";"Eglise MIGRAD";5.3365547;-4.0784483;"1";1;0
307;"";"Eglise La Vie Profonde";5.3373285;-4.0759908;"1";1;0
308;"";"Eglise Apostolique";5.3362376;-4.0744351;"1";1;0
309;"";"Eglise Assemblée De Dieu";5.3363931;-4.0738799;"1";1;0
310;"";"Eglise de Jésus Christ";5.3518837;-4.0640187;"1";1;0
311;"";"Eglise Evangelique Vision de Christ";5.3505691;-4.0658681;"1";1;0
312;"";"Eglise Pentecote Internationale: Temple Nayoth";5.3499055;-4.0704627;"1";1;0
313;"";"Mosquée: Nour Adou Brahman";5.3495047;-4.070533;"1";1;0
314;"";"Mission Evangelique De La Communication";5.3455512;-4.0685684;"1";1;0
315;"";"Mission Evangelique Patamos";5.3455198;-4.0690251;"1";1;0
316;"";"Foursquare";5.3461093;-4.0688427;"1";1;0
317;"";"Mission Evangelique Grâce De Vie";5.3458516;-4.0687394;"1";1;0
318;"";"Eglise evangelique preshytienne de ci";5.3742014;-3.99647;"1";1;0
319;"";"Eglise chretienne rachétée de DIEU";5.3706418;-3.9965471;"1";1;0
320;"";"Eglie Vase d'honneur";5.3805476;-4.0946844;"1";1;0
321;"";"Eglise";5.3796651;-4.0932427;"1";1;0
322;"";"Eglise Bethel International";5.3794688;-4.0939542;"1";1;0
323;"";"Eglise UEEDO-CI";5.3531922;-4.0672756;"1";1;0
324;"";"Eglise Catholique Saint Francois d'Assise";5.3832925;-4.0964019;"1";1;0
325;"";"Eglise Internationale Evangélique Temple Bethesda";5.3816438;-4.0962777;"1";1;0
326;"";"Mission Internationale d'évangélisation et de délivrance des âmes";5.3798821;-4.0969536;"1";1;0
327;"";"Eglise Internationale Evangélique des ambassades de Dieu";5.3796511;-4.0964178;"1";1;0
328;"";"Eglise Nouvelle Alliance";5.3478261;-4.068953;"1";1;0
329;"";"Eglise minitère d'ecoute et de prière";5.3743223;-4.0067093;"1";1;0
330;"";"Eglise";5.3409859;-4.0818266;"1";1;0
331;"";"Eglise";5.3423665;-4.0805841;"1";1;0
332;"";"Eglise le ministère du reveil";5.3733676;-4.007404;"1";1;0
333;"";"Eglise mission parole";5.3725932;-4.0099548;"1";1;0
334;"";"Communauté Missionnaire Régina Pacis";5.3725685;-4.0784919;"1";1;0
335;"";"Eglise Meveci";5.373867;-4.009124;"1";1;0
336;"";"Eglise";5.3460719;-4.0800315;"1";1;0
337;"";"Eglise Méthodiste";5.3837468;-4.099963;"1";1;0
338;"";"Eglise Evangélique du statut divin";5.3833082;-4.0970045;"1";1;0
339;"";"Eglise protestante CMA";5.3827067;-4.0967383;"1";1;0
340;"";"Eglise Dehima de Micao";5.3827514;-4.096794;"1";1;0
341;"";"Eglise Apostotique de CI";5.3823655;-4.0983973;"1";1;0
342;"";"Centre évangélique autel";5.3841447;-4.1006564;"1";1;0
343;"";"Eglise";5.3826359;-4.1013175;"1";1;0
344;"";"Eglise évangélique Jésus- Christ en action";5.3818601;-4.0985227;"1";1;0
345;"";"Eglise Assemblée de Dieu de Yopougon";5.3814996;-4.0985522;"1";1;0
346;"";"Eglise Internationale Foursquare CI";5.3809349;-4.0965117;"1";1;0
347;"";"Salon de Coiffure homme";5.3815584;-4.0973103;"1";1;0
348;"";"Eglise protestante bon Berger";5.3816532;-4.0977944;"1";1;0
349;"";"Eglise de Jésus Christ les saints";5.3809021;-4.0982028;"1";1;0
350;"";"Salon de Coiffure Homme";5.3811645;-4.0992851;"1";1;0
351;"";"Eglise MIGEC";5.3812733;-4.0993005;"1";1;0
352;"";"Eglise Universelle";5.381019;-4.0996894;"1";1;0
353;"";"Eglise Méthodiste";5.380772;-4.0997672;"1";1;0
